ISBN,goodreads_id,title,image,goodreads_link,publication_info,number_of_rattings,number_of_reviews,book_rate,number_of_5_stars_rating,number_of_4_stars_rating,number_of_3_stars_rating,number_of_2_stars_rating,number_of_1_stars_rating,author_name,author_link,author_no_of_books,author_followers,original_title,book_format,published,language,setting,all_contributors,number_of_editions,currently_reading,to_read,all_genres
9789953891460,7853106,أنا أحيا,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1268419575i/7853106.jpg,https://www.goodreads.com/book/show/7853106,"First published January 1, 1963",386 ratings,68 reviews,3.34,88 (22%),93 (24%),102 (26%),67 (17%),36 (9%),ليلى بعلبكي,https://www.goodreads.com/author/show/3370108._,3 ,133 followers,,327 pages,"January 1, 2010 by دار الآداب",Arabic,,ليلى بعلبكي,Show all 3 editions,50 people are currently reading,"1,213 people want to read","Novels,Fiction"
9786140215191,33642085--,ميموزا - ميساء العمودي,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1483142742i/33642085.jpg,https://www.goodreads.com/book/show/33642085--,"Published January 1, 2017",31 ratings,10 reviews,3.87,18 (58%),2 (6%),5 (16%),1 (3%),5 (16%),Maysaa Alamoudi,https://www.goodreads.com/author/show/16254879.Maysaa_Alamoudi,,,ميموزا,"280 pages, Hardcover","January 1, 2017 by منشورات ضفاف",Arabic,,Maysaa Alamoudi,Show all 2 editions,8 people are currently reading,79 people want to read,
9789953278902,11502463,رماد الدم,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1306825689i/11502463.jpg,https://www.goodreads.com/book/show/11502463,"First published December 17, 2009",7 ratings,1 review,2.14,0 (0%),0 (0%),4 (57%),0 (0%),3 (42%),علي أبو الريش,https://www.goodreads.com/author/show/4890798._,23 ,23 followers,,"151 pages, Paperback","December 17, 2009 by دار الكتاب العربي",Arabic,,علي أبو الريش,Show all editions,,10 people want to read,
9789776378834,20651045,شرق الدائري,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390995407i/20651045.jpg,https://www.goodreads.com/book/show/20651045,"First published January 1, 2014",128 ratings,41 reviews,3.14,19 (14%),32 (25%),39 (30%),24 (18%),14 (10%),خالد أحمد,https://www.goodreads.com/author/show/4683515._,4 ,59 followers,,"257 pages, Paperback","January 1, 2014 by دار المصرى للنشر والتوزيع",Arabic,,خالد أحمد,Show all editions,13 people are currently reading,351 people want to read,
9786589090281,36375257,فيليت,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1507474585i/36375257.jpg,https://www.goodreads.com/book/show/36375257,"First published January 1, 1853","68,575 ratings","4,837 reviews",3.77,"19,702 (28%)","23,054 (33%)","18,221 (26%)","5,713 (8%)","1,885 (2%)",Charlotte Brontë,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_,"2,121 ",15.4k followers,Villette,662 pages,"January 1, 2017 by الأهلية للنشر والتوزيع",Arabic,,Charlotte Brontë,Show all 3091 editions,"4,632 people are currently reading",117k people want to read,"Classics,Fiction,Romance,19th Century,Victorian,Literature,Gothic"
9789948103752,37846926,بعد تلك المعاناة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1515321081i/37846926.jpg,https://www.goodreads.com/book/show/37846926,"First published November 1, 2017",11 ratings,2 reviews,3.09,2 (18%),2 (18%),3 (27%),3 (27%),1 (9%),محمد الحمادى,https://www.goodreads.com/author/show/17576387._,,,بعد تلك المعاناة,"143 pages, Paperback","November 1, 2017 by دار ملهمون للنشر والتوزيع",Arabic,,محمد الحمادى,Show all editions,1 person is currently reading,12 people want to read,
9786140120303,108826668,عطر وألحان,https://d15be2nos83ntc.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/108826668,,0 ratings,0 reviews,0.0,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),unknown author,https://www.goodreads.com/author/show/22294257.unknown_author,3m ,9 followers,,Hardcover,الدار العربية للعلوم ناشرون,Arabic,,unknown author,Show all editions,,,
9786144259702,35211169,جنوب جدة... شرق الموسم,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1495535022i/35211169.jpg,https://www.goodreads.com/book/show/35211169,"Published January 1, 2016",23 ratings,4 reviews,3.3,1 (4%),11 (47%),5 (21%),6 (26%),0 (0%),عمرو العامري,https://www.goodreads.com/author/show/5877412._,7 ,19 followers,,"160 pages, Paperback","January 1, 2016 by الساقي",,,عمرو العامري,Show all 3 editions,2 people are currently reading,32 people want to read,
9786140105232,13637412,ساق البامبو,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1336743682i/13637412.jpg,https://www.goodreads.com/book/show/13637412,"First published May 1, 2012","55,915 ratings","8,774 reviews",4.22,"26,012 (46%)","19,469 (34%)","7,737 (13%)","1,845 (3%)",852 (1%),سعود السنعوسي,https://www.goodreads.com/author/show/4603829._,5 ,11.9k followers,ساق البامبو,"400 pages, Paperback","January 1, 2014 by الدار العربية للعلوم ناشرون",Arabic,"Kuwait, Philippines","سعود السنعوسي,Saud Alsanousi",Show all 24 editions,"3,177 people are currently reading",39.6k people want to read,"Novels,Fiction,Literature,Contemporary,Drama,Social,Audiobook"
9786140214767,32946014,خارج السيطرة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478899189i/32946014.jpg,https://www.goodreads.com/book/show/32946014,"First published October 28, 2016",51 ratings,15 reviews,3.75,19 (37%),7 (13%),18 (35%),7 (13%),0 (0%),abdelatif ouldabdallah,https://www.goodreads.com/author/show/16070486.abdelatif_ouldabdallah,3 ,234 followers,خارج السيطرة ,"216 pages, Paperback","October 28, 2016 by دار ضفاف ودار إختلاف للنشر",Arabic,,"abdelatif ouldabdallah,Abdelatif OuldAbdallah",Show all 2 editions,8 people are currently reading,304 people want to read,
9789778212204,60021121,داجني أو وليمة حب سماوية,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1641234348i/60021121.jpg,https://www.goodreads.com/book/show/60021121,"First published January 1, 2011",66 ratings,10 reviews,3.62,17 (25%),20 (30%),20 (30%),5 (7%),4 (6%),Zurab Karumidze,https://www.goodreads.com/author/show/6455190.Zurab_Karumidze,12 ,21 followers,,Paperback,"December 1, 2021 by دار صفصافة للنشر",Arabic,,"Zurab Karumidze,أمل الشربيني (ترجمة)",Show all 7 editions,8 people are currently reading,188 people want to read,"Georgian,Novels,Fiction"
9782844095923,8994051,ألزهايمر,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1289025172i/8994051.jpg,https://www.goodreads.com/book/show/8994051,"First published August 1, 2010","10,782 ratings","1,647 reviews",3.64,"2,744 (25%)","3,200 (29%)","3,361 (31%)","1,119 (10%)",358 (3%),Ghazi A. Algosaibi,https://www.goodreads.com/author/show/14053959.Ghazi_A_Algosaibi,89 ,852 followers,ألزهايمر,"127 pages, Paperback","January 1, 2010 by بيسان للنشر والتوزيع",Arabic,,"Ghazi A. Algosaibi,غازي عبد الرحمن القصيبي",Show all 5 editions,315 people are currently reading,"8,685 people want to read","Novels,Fiction,Short Stories,Literature,Psychology,Mental Illness,Romance"
9789775217608,108654966,العذراء والغجري,https://d15be2nos83ntc.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/108654966,"Published January 1, 2019",0 ratings,0 reviews,0.0,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),د. ه. لورنس,https://www.goodreads.com/author/show/27890868._,,,,Paperback,"January 1, 2019 by أقلام عربية",Arabic,,د. ه. لورنس,Show all editions,,,
9786144193860,24463794,ريام وكفى,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1421069931i/24463794.jpg,https://www.goodreads.com/book/show/24463794,"First published January 1, 2014",186 ratings,59 reviews,3.01,24 (12%),30 (16%),76 (40%),35 (18%),21 (11%),هدية حسين,https://www.goodreads.com/author/show/2802333._,15 ,37 followers,,"216 pages, ebook","January 1, 2014 by المؤسسة العربية للدراسات والنشر ـ لبنان",Arabic,,هدية حسين,Show all editions,5 people are currently reading,230 people want to read,"Novels,Fiction"
9789953278896,13603945,السيف والزهرة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1334548720i/13603945.jpg,https://www.goodreads.com/book/show/13603945,"First published January 1, 2009",11 ratings,1 review,2.09,0 (0%),1 (9%),1 (9%),7 (63%),2 (18%),علي أبو الريش,https://www.goodreads.com/author/show/4890798._,23 ,23 followers,,"183 pages, Paperback","January 1, 2009 by دار الكتاب العربي",Arabic,,علي أبو الريش,Show all editions,1 person is currently reading,11 people want to read,
9786140119956,35881849,غرابيل,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1501510866i/35881849.jpg,https://www.goodreads.com/book/show/35881849,"First published January 1, 2016",3 ratings,1 review,3.33,1 (33%),0 (0%),1 (33%),1 (33%),0 (0%),عبدالله النغيثر,https://www.goodreads.com/author/show/17069479._,,,غرابيل,"110 pages, Paperback","January 1, 2016 by الدار العربية للعلوم ناشرون",Arabic,,عبدالله النغيثر,Show all editions,,1 person wants to read,
9789773517007,20322457,فخ البراءة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388177601i/20322457.jpg,https://www.goodreads.com/book/show/20322457,"First published January 1, 2014",26 ratings,10 reviews,3.15,5 (19%),6 (23%),8 (30%),2 (7%),5 (19%),عادل أسعد الميري,https://www.goodreads.com/author/show/3413558._,25 ,121 followers,فخ البراءة,"148 pages, Paperback","January 1, 2014 by دار ميريت",Arabic,,عادل أسعد الميري,Show all editions,,82 people want to read,
9789933540449,40059067,قد لا يبقى أحد,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1526306346i/40059067.jpg,https://www.goodreads.com/book/show/40059067,"Published January 1, 2018",16 ratings,7 reviews,4.06,7 (43%),6 (37%),1 (6%),1 (6%),1 (6%),هيثم حسين,https://www.goodreads.com/author/show/6981778._,13 ,16 followers,,"203 pages, Paperback","January 1, 2018 by دار ممدوح عدوان للنشر والتوزيع",Arabic,,هيثم حسين,Show all editions,3 people are currently reading,65 people want to read,
9789777982337,110592094-nour,‫نور _ Nour‬,https://d15be2nos83ntc.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/110592094-nour,"Published February 1, 2021",0 ratings,0 reviews,0.0,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),Abd El-Rahman Wael,https://www.goodreads.com/author/show/28145944.Abd_El_Rahman_Wael,,,,114 pages,"February 1, 2021 by دار الحلم للنشر والتوزيع _ Elhelm for Publishing and Distribution",Arabic,,Abd El-Rahman Wael,Show all editions,,,
9789954670200,39318729,عبادة المشاعر,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1521424961i/39318729.jpg,https://www.goodreads.com/book/show/39318729,"First published August 28, 2001",581 ratings,154 reviews,3.76,139 (23%),223 (38%),170 (29%),36 (6%),13 (2%),Michel  Lacroix,https://www.goodreads.com/author/show/9759048.Michel_Lacroix,9 ,29 followers,Le culte de l'émotion,"186 pages, Paperback","January 1, 2017 by أفريقيا الشرق",Arabic,,"Michel  Lacroix,أمين كنون (مترجم)",Show all 3 editions,110 people are currently reading,"2,408 people want to read","Psychology,Philosophy,Nonfiction,Social Science,France"
9786144321096,29871177,على باب الهوى,https://d15be2nos83ntc.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/29871177,,1 rating,0 reviews,3.0,0 (0%),0 (0%),1 (100%),0 (0%),0 (0%),صبحي فحماوي,https://www.goodreads.com/author/show/3040899._,17 ,19 followers,,ebook,ektab,,,صبحي فحماوي,Show all editions,,5 people want to read,
9789921730807,58602236,المتسول وقصص أخرى,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1626886265i/58602236.jpg,https://www.goodreads.com/book/show/58602236,"First published April 1, 2012",219 ratings,28 reviews,3.58,36 (16%),76 (34%),88 (40%),17 (7%),2 (<1%),Fernando Pessoa,https://www.goodreads.com/author/show/7816.Fernando_Pessoa,"1,005 ","5,124 followers",O mendigo e outros contos,"125 pages, Paperback","July 1, 2021 by دار كلمات للنشر والتوزيع",Arabic,,"Fernando Pessoa,فرناندو بيسوا,سعيد بنعبد الواحد (Translator)",Show all 11 editions,24 people are currently reading,189 people want to read,"Short Stories,Philosophy,Portugal,Literature,Fiction"
9789953878379,8253796,الكيان: خمسة قرون من جاسوسية الفاتيكان,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1274288001i/8253796.jpg,https://www.goodreads.com/book/show/8253796,"First published January 1, 2004",267 ratings,44 reviews,3.71,70 (26%),94 (35%),70 (26%),22 (8%),11 (4%),Eric Frattini,https://www.goodreads.com/author/show/414526.Eric_Frattini,71 ,71 followers,The Entity: Five Centuries of Secret Vatican Espionage,"510 pages, Paperback","January 1, 2010 by الدار العربية للعلوم",Arabic,,"Eric Frattini,إريك فراتيني",Show all 22 editions,62 people are currently reading,699 people want to read,"History,Nonfiction,Politics,Religion,Espionage"
9789776402812,31915303,وداعا نيومينسو,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1473333983i/31915303.jpg,https://www.goodreads.com/book/show/31915303,"First published January 7, 2016",6 ratings,1 review,3.5,2 (33%),1 (16%),2 (33%),0 (0%),1 (16%),فاطمة المرسي,https://www.goodreads.com/author/show/15745077._,,,وداعا نيومينسو ,"263 pages, Paperback","January 5, 2016 by بيت الياسمين للنشر والتوزيع",Arabic,,فاطمة المرسي,Show all editions,1 person is currently reading,3 people want to read,
9781773226897,43208856,المهابهارتا عن ملحمة الهند الخالدة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1544662749i/43208856.jpg,https://www.goodreads.com/book/show/43208856,"First published January 1, 1987",221 ratings,26 reviews,4.3,115 (52%),69 (31%),30 (13%),3 (1%),4 (1%),Jean-Claude Carrière,https://www.goodreads.com/author/show/10284.Jean_Claude_Carri_re,184 ,81 followers,The Mahabharata,"333 pages, Paperback","January 1, 2018 by جامعة الكوفة&دار الرافدين",Arabic,,"Jean-Claude Carrière,جان كلود كارييه,بيتر بروك",Show all 32 editions,22 people are currently reading,302 people want to read,"Plays,Religion,Drama,Fantasy,Fiction,India,Hinduism"
9789933351960,75513276,هذي هي الأغلال,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1672675183i/75513276.jpg,https://www.goodreads.com/book/show/75513276,"First published January 1, 1946",613 ratings,79 reviews,3.66,198 (32%),173 (28%),132 (21%),58 (9%),52 (8%),عبد الله القصيمي,https://www.goodreads.com/author/show/2130087._,26 ,"1,206 followers",هذي هي الأغلال,"448 pages, Paperback","January 1, 2018",Arabic,,عبد الله القصيمي,Show all 5 editions,116 people are currently reading,"2,595 people want to read","Philosophy,Religion,Nonfiction"
9786144320891,26051607,رواية عباءات محترقة,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438889644i/26051607.jpg,https://www.goodreads.com/book/show/26051607,"First published January 1, 2014",5 ratings,0 reviews,2.6,0 (0%),2 (40%),1 (20%),0 (0%),2 (40%),سليم الشيخلي,https://www.goodreads.com/author/show/8121192._,2 ,3 followers,عباءات محترقة,"179 pages, Paperback","January 1, 2014 by دار الفراشة",Arabic,,سليم الشيخلي,Show all editions,1 person is currently reading,9 people want to read,
